unit_id,unit_type,agency,dispatch_group,beat,station_id,pair_unit_id,default_attributes,default_m_skill,typical_als_equipment,attribute_source
M607B,M,FIRE,F1,607,607,,,0,,Unknown / not modeled
M608,M,FIRE,F1,608,608,,,0,,Unknown / not modeled
M608B,M,FIRE,F1,608,608,,,0,,Unknown / not modeled
M609,M,FIRE,F1,609,609,,,0,,Unknown / not modeled
M609B,M,FIRE,F1,609,609,,,0,,Unknown / not modeled
M609C,M,FIRE,F1,609,609,,,0,,Unknown / not modeled
M610,M,FIRE,F1,610,610,,,0,,Unknown / not modeled
M612,M,FIRE,F1,612,612,,,0,,Unknown / not modeled
M612B,M,FIRE,F1,612,612,,,0,,Unknown / not modeled
M613,M,FIRE,F1,613,613,,,0,,Unknown / not modeled
M613B,M,FIRE,F1,613,613,,,0,,Unknown / not modeled
M613C,M,FIRE,F1,613,613,,,0,,Unknown / not modeled
M613D,M,FIRE,F1,613,613,,,0,,Unknown / not modeled
M613E,M,FIRE,F1,613,613,,,0,,Unknown / not modeled
M613EE,M,FIRE,F1,613,613,,,0,,Unknown / not modeled
M613F,M,FIRE,F1,613,613,,,0,,Unknown / not modeled
M613G,M,FIRE,F1,613,613,,,0,,Unknown / not modeled
M614,M,FIRE,F1,614,614,,,0,,Unknown / not modeled
M614B,M,FIRE,F1,614,614,,,0,,Unknown / not modeled
M614C,M,FIRE,F1,614,614,,,0,,Unknown / not modeled
M615,M,FIRE,F1,615,615,,,0,,Unknown / not modeled
M615B,M,FIRE,F1,615,615,,,0,,Unknown / not modeled
M615C,M,FIRE,F1,615,615,,,0,,Unknown / not modeled
M617,M,FIRE,F1,617,617,,,0,,Unknown / not modeled
M617B,M,FIRE,F1,617,617,,,0,,Unknown / not modeled
M617C,M,FIRE,F1,617,617,,,0,,Unknown / not modeled
M618,M,FIRE,F1,618,618,,,0,,Unknown / not modeled
M619,M,FIRE,F1,619,619,,,0,,Unknown / not modeled
M621,M,FIRE,F1,621,621,,,0,,Unknown / not modeled
M621B,M,FIRE,F1,621,621,,,0,,Unknown / not modeled
M622,M,FIRE,F1,622,622,,,0,,Unknown / not modeled
M622B,M,FIRE,F1,622,622,,,0,,Unknown / not modeled
M623,M,FIRE,F1,623,623,,,0,,Unknown / not modeled
M623B,M,FIRE,F1,623,623,,,0,,Unknown / not modeled
M625,M,FIRE,F1,625,625,,,0,,Unknown / not modeled
M625B,M,FIRE,F1,625,625,,,0,,Unknown / not modeled
M625C,M,FIRE,F1,625,625,,,0,,Unknown / not modeled
M626,M,FIRE,F1,626,626,,,0,,Unknown / not modeled
M626B,M,FIRE,F1,626,626,,,0,,Unknown / not modeled
M627,M,FIRE,F1,627,627,,,0,,Unknown / not modeled
M627B,M,FIRE,F1,627,627,,,0,,Unknown / not modeled
M635,M,FIRE,F1,635,635,,,0,,Unknown / not modeled
M635B,M,FIRE,F1,635,635,,,0,,Unknown / not modeled
M635C,M,FIRE,F1,635,635,,,0,,Unknown / not modeled
M680,M,FIRE,F1,600,600,,,0,,Unknown / not modeled
M681,M,FIRE,F1,600,600,,,0,,Unknown / not modeled
M682,M,FIRE,F1,600,600,,,0,,Unknown / not modeled
M698,M,FIRE,F1,699,699,,,0,,Unknown / not modeled
M699,M,FIRE,F1,699,699,,,0,,Unknown / not modeled
M701,M,FIRE,F1,701,701,,,0,,Unknown / not modeled
M703,M,FIRE,F1,703,703,,,0,,Unknown / not modeled
M703b,M,FIRE,F1,703,700,,,0,,Unknown / not modeled
M704,M,FIRE,F1,704,704,,,0,,Unknown / not modeled
M705,M,FIRE,F1,705,705,,,0,,Unknown / not modeled
M707,M,FIRE,F1,707,707,,,0,,Unknown / not modeled
M708,M,FIRE,F1,708,708,,,0,,Unknown / not modeled
M708B,M,FIRE,F1,708,708,,,0,,Unknown / not modeled
M710,M,FIRE,F1,710,710,,,0,,Unknown / not modeled
M711,M,FIRE,F1,711,711,,,0,,Unknown / not modeled
M712,M,FIRE,F1,712,712,,,0,,Unknown / not modeled
M713,M,FIRE,F1,713,713,,,0,,Unknown / not modeled
M714,M,FIRE,F1,714,714,,,0,,Unknown / not modeled
M715,M,FIRE,F1,715,715,,,0,,Unknown / not modeled
M717,M,FIRE,F1,717,717,,,0,,Unknown / not modeled
M723,M,FIRE,F1,723,723,,,0,,Unknown / not modeled
M724,M,FIRE,F1,724,724,,,0,,Unknown / not modeled
M725,M,FIRE,F1,725,725,,,0,,Unknown / not modeled
M726,M,FIRE,F1,726,726,,,0,,Unknown / not modeled
M729,M,FIRE,F1,729,729,,,0,,Unknown / not modeled
M729B,M,FIRE,F1,729,729,,,0,,Unknown / not modeled
M730,M,FIRE,F1,730,730,,,0,,Unknown / not modeled
M731,M,FIRE,F1,731,731,,,0,,Unknown / not modeled
M732,M,FIRE,F1,732,732,,,0,,Unknown / not modeled
M735,M,FIRE,F1,735,735,,,0,,Unknown / not modeled
M740,M,FIRE,F1,740,740,,,0,,Unknown / not modeled
M741,M,FIRE,F1,741,741,,,0,,Unknown / not modeled
M741B,M,FIRE,F1,741,741,,,0,,Unknown / not modeled
M741C,M,FIRE,F1,741,741,,,0,,Unknown / not modeled
M741D,M,FIRE,F1,741,741,,,0,,Unknown / not modeled
M741E,M,FIRE,F1,741,741,,,0,,Unknown / not modeled
M741F,M,FIRE,F1,741,741,,,0,,Unknown / not modeled
M742,M,FIRE,F1,742,742,,,0,,Unknown / not modeled
M742B,M,FIRE,F1,742,742,,,0,,Unknown / not modeled
M742C,M,FIRE,F1,742,742,,,0,,Unknown / not modeled
M742D,M,FIRE,F1,742,742,,,0,,Unknown / not modeled
M742E,M,FIRE,F1,742,742,,,0,,Unknown / not modeled
M742F,M,FIRE,F1,742,742,,,0,,Unknown / not modeled
M750,M,FIRE,F1,750,750,,,0,,Unknown / not modeled
M750B,M,FIRE,F1,750,750,,,0,,Unknown / not modeled
M810P,M,FIRE,F1,810,810,,,0,,Unknown / not modeled
M812P,M,FIRE,F1,812,812,,,0,,Unknown / not modeled
M816P,M,FIRE,F1,816,816,,,0,,Unknown / not modeled
M818P,M,FIRE,F1,818,818,,,0,,Unknown / not modeled
M820P,M,FIRE,F1,820,820,,,0,,Unknown / not modeled
M825P,M,FIRE,F1,825,825,,,0,,Unknown / not modeled
M826P,M,FIRE,F1,826,826,,,0,,Unknown / not modeled
M829P,M,FIRE,F1,829,829,,,0,,Unknown / not modeled
M830P,M,FIRE,F1,830,830,,,0,,Unknown / not modeled
M838P,M,FIRE,F1,838,838,,,0,,Unknown / not modeled
M840P,M,FIRE,F1,840,840,,,0,,Unknown / not modeled
M843P,M,FIRE,F1,843,843,,,0,,Unknown / not modeled
M844P,M,FIRE,F1,844,844,,,0,,Unknown / not modeled
M845P,M,FIRE,F1,845,845,,,0,,Unknown / not modeled
M846P,M,FIRE,F1,846,846,,,0,,Unknown / not modeled
M847P,M,FIRE,F1,847,847,,,0,,Unknown / not modeled
M849P,M,FIRE,F1,849,849,,,0,,Unknown / not modeled
M855P,M,FIRE,F1,855,855,,,0,,Unknown / not modeled
MA108,LAOJ,FIRE,F1,108,108,,,0,,Unknown / not modeled
MAB401,AB,FIRE,F1,427,427,,,0,,Unknown / not modeled
MAB623,AB,FIRE,F1,623,623,,,0,,Unknown / not modeled
MAB627,AB,FIRE,F1,627,627,,,0,,Unknown / not modeled
MAB726,AB,FIRE,F1,726,726,,,0,,Unknown / not modeled
MAU108,MAU,FIRE,F1,108,108,,,0,,Unknown / not modeled
MAU207,MAU,FIRE,F1,207,207,,,0,,Unknown / not modeled
MAU210,MAU,FIRE,F1,210,210,,,0,,Unknown / not modeled
MAU512,MAU,FIRE,F1,512,512,,,0,,Unknown / not modeled
MAU515,MAU,FIRE,F1,515,515,,,0,,Unknown / not modeled
MAU525,MAU,FIRE,F1,525,525,,,0,,Unknown / not modeled
MAU608,MAU,FIRE,F1,608,608,,,0,,Unknown / not modeled
MAU716,MAU,FIRE,F1,716,716,,,0,,Unknown / not modeled
MAU733,MAU,FIRE,F1,733,733,,,0,,Unknown / not modeled
MAU806,MAU,FIRE,F1,806,806,,,0,,Unknown / not modeled
MAU816,MAU,FIRE,F1,816,816,,,0,,Unknown / not modeled
MC100,ADM,FIRE,F1,100,100,,,0,,Unknown / not modeled
MCCU2,MCUOJ,FIRE,F1,200,200,,,0,,Unknown / not modeled
MCH901,ADM,FIRE,F1,900,900,,,0,,Unknown / not modeled
MCH902,ADM,FIRE,F1,900,900,,,0,,Unknown / not modeled
MCP300,ADM,FIRE,F1,301,301,,,0,,Unknown / not modeled
MCP400,MCP,FIRE,F1,434,434,,,0,,Unknown / not modeled
MCP401,MCP,FIRE,F1,434,434,,,0,,Unknown / not modeled
MCP402,MCP,FIRE,F1,418,418,,,0,,Unknown / not modeled
MCP430,MCP,FIRE,F1,430,430,,,0,,Unknown / not modeled
MCP430-1,MCP,FIRE,F1,430,430,,,0,,Unknown / not modeled
